,_id,case_enquiry_id,case_status,case_title,city_council_district,closed_dt,closure_reason,confirmed_violation,department,development_id,development_name,fire_district,geocoded_location,land_usage,latitude,location,location_street_name,location_zipcode,longitude,neighborhood,neighborhood_services_district,open_dt,police_district,precinct,property_id,property_type,pwd_district,queue,reason,source,subject,type,ward
0,53be4d3a88045d2e0f3ffffe,101001115421,Open,Rodent Activity,9.0,,,,ISD,219,Ashford Street Lodging,11.0,"{u'latitude': u'42.35476', u'needs_recoding': False, u'longitude': u'-71.1273'}",A,42.35476,42 Ashford St  Allston  MA  02134,42 Ashford St,2134.0,-71.1273,Allston / Brighton,15.0,2014-06-24T23:47:32,D14,2104.0,179743.0,Address,04,ISD_Environmental Services (INTERNAL),Environmental Services,Constituent Call,Inspectional Services,Rodent Activity,Ward 21
1,53be4d4788045d2e0f3fffff,101001115421,Open,Rodent Activity,9.0,,,,ISD,219,Ashford Street Lodging,11.0,"{u'latitude': u'42.35476', u'needs_recoding': False, u'longitude': u'-71.1273'}",A,42.35476,42 Ashford St  Allston  MA  02134,42 Ashford St,2134.0,-71.1273,Allston / Brighton,15.0,2014-06-24T23:47:32,D14,2104.0,179743.0,Address,04,ISD_Environmental Services (INTERNAL),Environmental Services,Constituent Call,Inspectional Services,Rodent Activity,Ward 21
2,53be4d4e88045d2e0f400000,101001110936,Open,Heat - Excessive  Insufficient,9.0,,,,ISD,134,Patricia White,11.0,"{u'latitude': u'42.342568', u'needs_recoding': False, u'longitude': u'-71.141585'}",E,42.342568,20 Washington St  Brighton  MA  02135,20 Washington St,2135.0,-71.141585,Allston / Brighton,15.0,2014-06-18T11:24:24,D14,2112.0,171303.0,Address,04,ISD_Housing (INTERNAL),Housing,Constituent Call,Inspectional Services,Heat - Excessive  Insufficient,Ward 21
3,53be4d5288045d2e0f400001,101001108760,Open,Heat - Excessive  Insufficient,5.0,,,,ISD,137,Roslyn,12.0,"{u'latitude': u'42.278425', u'needs_recoding': False, u'longitude': u'-71.120582'}",E,42.278425,1 Cliffmont St  Roslindale  MA  02131,1 Cliffmont St,2131.0,-71.120582,Roslindale,10.0,2014-06-13T22:51:50,E18,1809.0,174309.0,Address,08,ISD_Housing (INTERNAL),Housing,Constituent Call,Inspectional Services,Heat - Excessive  Insufficient,18
4,53be4d5788045d2e0f400002,101001106354,Open,Maintenance Complaint - Residential,9.0,,,,ISD,134,Patricia White,11.0,"{u'latitude': u'42.342568', u'needs_recoding': False, u'longitude': u'-71.141585'}",E,42.342568,20 Washington St  Brighton  MA  02135,20 Washington St,2135.0,-71.141585,Allston / Brighton,15.0,2014-06-10T09:35:11,D14,2112.0,171303.0,Address,04,ISD_Housing (INTERNAL),Housing,Constituent Call,Inspectional Services,Maintenance Complaint - Residential,Ward 21
5,53be4d5888045d2e0f400003,101001106072,Closed,Squalid Living Conditions,5.0,2014-06-20T12:16:17,Case Closed : ,,ISD,120,Hassan,8.0,"{u'latitude': u'42.26457', u'needs_recoding': False, u'longitude': u'-71.10257'}",E,42.26457,705 River St  Mattapan  MA  02126,705 River St,2126.0,-71.10257,Hyde Park,9.0,2014-06-09T16:06:42,E18,1805.0,299971.0,Address,08,ISD_Housing (INTERNAL),Housing,Constituent Call,Inspectional Services,Squalid Living Conditions,Ward 18
6,53be4d5888045d2e0f400004,101001106067,Closed,Rodent Activity,5.0,2014-06-24T07:41:12,Case Closed VIOISS: Violation Filed ,Y,ISD,120,Hassan,8.0,"{u'latitude': u'42.26457', u'needs_recoding': False, u'longitude': u'-71.10257'}",E,42.26457,705 River St  Mattapan  MA  02126,705 River St,2126.0,-71.10257,Hyde Park,9.0,2014-06-09T16:03:10,E18,1805.0,116707.0,Address,08,ISD_Environmental Services (INTERNAL),Environmental Services,Constituent Call,Inspectional Services,Rodent Activity,Ward 18
7,53be4d5988045d2e0f400005,101001105748,Closed,Unsatisfactory Living Conditions,2.0,2014-06-09T11:22:19,Case Closed : ,,ISD,98,Bellflower,6.0,"{u'latitude': u'42.32425', u'needs_recoding': False, u'longitude': u'-71.05887'}",E,42.32425,24 Bellflower St  Dorchester  MA  02125,24 Bellflower St,2125.0,-71.05887,Dorchester,5.0,2014-06-09T11:21:46,C6,708.0,186911.0,Address,03,ISD_Housing (INTERNAL),Housing,Constituent Call,Inspectional Services,Unsatisfactory Living Conditions,Ward 7
8,53be4d5e88045d2e0f400006,101001102713,Closed,Sidewalk Repair (Make Safe),5.0,2014-06-03T16:24:36,Case Closed Case Invalid Wrong address provided by constituent. A new case  101001102717  with the correct info was created.  ,,PWDx,50,Washington Beech,12.0,"{u'latitude': u'42.277881', u'needs_recoding': False, u'longitude': u'-71.13716'}",,42.277881,4560 Washington St  Roslindale  MA  02131,4560 Washington St,2131.0,-71.13716,Roslindale,10.0,2014-06-03T16:19:05,E5,1811.0,171276.0,Address,06,PWDx_District 06: West Roxbury and Roslindale,Highway Maintenance,Constituent Call,Public Works Department,Sidewalk Repair (Make Safe),Ward 18
9,53be4d6488045d2e0f400007,101001099551,Closed,Rodent Activity,9.0,2014-06-18T09:17:08,Case Closed VIOCOR: Violation Corrected ,Y,ISD,7,Brighton-Allston Apartments,11.0,"{u'latitude': u'42.348857', u'needs_recoding': False, u'longitude': u'-71.137649'}",A,42.348857,1387 Commonwealth Ave  Allston  MA  02134,1387 Commonwealth Ave,2134.0,-71.137649,Allston / Brighton,15.0,2014-05-29T10:45:42,D14,2106.0,37445.0,Address,04,ISD_Environmental Services (INTERNAL),Environmental Services,Constituent Call,Inspectional Services,Rodent Activity,Ward 21
