formatted_address,primary_address,other_address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
4-6 Bloomfield St  Dorchester  MA  02124,y,,5,Bloomfield,,,,,,Leased Housing - PBV Family
4 Bloomfield St  Dorchester  MA  02124,y,,5,Bloomfield,,,,,,Leased Housing - PBV Family
6 Bloomfield St  Dorchester  MA  02124,y,,5,Bloomfield,,,,,,Leased Housing - PBV Family
"37, 39, 41 Bowdoin St  Boston  MA  02114",y,,6,Bowdoin Manor,,,,,,Leased Housing - PBV Eld/Dis
37 Bowdoin St  Boston  MA  02114,y,,6,Bowdoin Manor,,,,,,Leased Housing - PBV Eld/Dis
39 Bowdoin St  Boston  MA  02114,y,,6,Bowdoin Manor,,,,,,Leased Housing - PBV Eld/Dis
41 Bowdoin St  Boston  MA  02114,y,,6,Bowdoin Manor,,,,,,Leased Housing - PBV Eld/Dis
493-501 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,"1387 Commonwealth Ave, Allston, MA 02134",,,,,Leased Housing - PBV Family
493 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
495 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
497 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
499 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
501 Washington St  Brighton  MA  02135,y,,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
1387 Commonwealth Ave  Allston  MA  02134,,y,7,Brighton-Allston Apartments,,,,,,Leased Housing - PBV Family
104 First Ave  Charlestown  MA  02129,,,8,Building 104,,,,,,Leased Housing - PBV Eld/Dis
209-219-221-223 Heath St  Jamaica Plain  MA  02130,y,,9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
209 Heath St  Jamaica Plain  MA  02130,y,,9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
219 Heath St  Jamaica Plain  MA  02130,y,,9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
221 Heath St  Jamaica Plain  MA  02130,y,,9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
223 Heath St  Jamaica Plain  MA  02130,y,,9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
2311-2313 Washington St  Boston  MA  02119,y,,10,Central Boston Elder Services,,,,,,Leased Housing - PBV Eld/Dis
2311 Washington St  Boston  MA  02119,y,,10,Central Boston Elder Services,,,,,,Leased Housing - PBV Eld/Dis
2313 Washington St  Boston  MA  02119,y,,10,Central Boston Elder Services,,,,,,Leased Housing - PBV Eld/Dis
200 Corey St  Brighton  MA  02135,y,,11,Corey Seton Manor,,,,,,Leased Housing - PBV Eld/Dis
"7,11,11A,15 Cortes St  Boston  MA  02115",y,,12,Cortes Apartments,,,,,,Leased Housing - PBV Family
7 Cortes St  Boston  MA  02115,y,,12,Cortes Apartments,,,,,,Leased Housing - PBV Family
11 Cortes St  Boston  MA  02115,y,,12,Cortes Apartments,,,,,,Leased Housing - PBV Family
11A Cortes St  Boston  MA  02115,y,,12,Cortes Apartments,,,,,,Leased Housing - PBV Family
15 Cortes St  Boston  MA  02115,y,,12,Cortes Apartments,,,,,,Leased Housing - PBV Family
140-146 Dudley St  Roxbury  MA  02118,y,,13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
140 Dudley St  Roxbury  MA  02118,y,,13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
142 Dudley St  Roxbury  MA  02118,y,,13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
144 Dudley St  Roxbury  MA  02118,y,,13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
146 Dudley St  Roxbury  MA  02118,y,,13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
Scattered Sites  Boston  MA  02116,,,14,Dixwell Park,,,,,,Leased Housing - PBV Family
223-229 Dudley St  Roxbury  MA  02119,y,,15,Dudley Greenville,,,,,,Leased Housing - PBV Family
223 Dudley St  Roxbury  MA  02119,y,,15,Dudley Greenville,,,,,,Leased Housing - PBV Family
225 Dudley St  Roxbury  MA  02119,y,,15,Dudley Greenville,,,,,,Leased Housing - PBV Family
227 Dudley St  Roxbury  MA  02119,y,,15,Dudley Greenville,,,,,,Leased Housing - PBV Family
229 Dudley St  Roxbury  MA  02119,y,,15,Dudley Greenville,,,,,,Leased Housing - PBV Family
8 Dunmore St  Boston  MA  02116,y,,16,Dunmore Place,,,,,,Leased Housing - PBV Family
3037 Washington St  Boston  MA  02119,y,,17,Egleston Crossing,,,,,,Leased Housing - PBV Family
1 Shandon Rd  Dorchester  MA  02124,y,,18,Franklin Hill,,,,,,Public Housing - Tax Cred
82 Green St  Jamaica Plain  MA  02130,y,,19,Green Street,,,,,,Leased Housing - PBV Eld/Dis
Harvard Ave  Senator Bolling Circle  Snowden Way  Dorchester  MA  02124,y,,20,Harvard Commons,,,,,,Leased Housing - PBV Family
27 Burroughs St  Jamaica Plain  MA  02130,y,,21,Hearth at Burroughs,,,,,,Leased Housing - PBV Eld/Dis
2 Kingbird Rd  Dorchester  MA  02124,y,,22,Hearth at Olmsted Green,,,,,,Leased Housing - PBV Eld/Dis
