,address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
0,"4-6 Bloomfield Street, Dorchester, MA 02124",5,Bloomfield,,,,,,Leased Housing - PBV Family
1,"37, 39, 41 Bowdoin Street, Boston, MA 02116",6,Bowdoin Manor,,,,,,Leased Housing - PBV Eld/Dis
2,"493-501 Washington Street, Brighton, MA 02135",7,Brighton-Allston Apartments,"1387 Commonwealth Ave, Allston, MA 02134",,,,,Leased Housing - PBV Family
3,"104 First Ave, Charlestown, MA 02129",8,Building 104,,,,,,Leased Housing - PBV Eld/Dis
4,"209-219-221-223 Heath Street,  Jamaica Plain, MA 02130",9,Catherine Gallagher,,,,,,Leased Housing - PBV Family
5,"2311-2313 Washington Street, Boston, MA 02119",10,Central Boston Elder Services,,,,,,Leased Housing - PBV Eld/Dis
6,"200 Corey Street, Brighton, MA 02135",11,Corey Seton Manor,,,,,,Leased Housing - PBV Eld/Dis
7,"7,11,11A,15 Cortes Street, Boston, MA 02115",12,Cortes Apartments,,,,,,Leased Housing - PBV Family
8,"140-146 Dudley Street, Roxbury, MA 02118",13,Dartmouth Hotel,,,,,,Leased Housing - PBV Family
9,"Scattered Sites, Boston, MA 02116",14,Dixwell Park,,,,,,Leased Housing - PBV Family
10,"223-229 Dudley Street, Roxbury, MA 02119",15,Dudley Greenville,,,,,,Leased Housing - PBV Family
11,"8 Dunmore Street, Boston, MA 02116",16,Dunmore Place,,,,,,Leased Housing - PBV Family
12,"3037 Washington Street, Boston, MA 02119",17,Egleston Crossing,,,,,,Leased Housing - PBV Family
13,"1 Shandon Road, Dorchester, MA 02124",18,Franklin Hill,,,,,,Public Housing - Tax Cred
14,"82 Green Street, Jamaica Plain, MA 02130",19,Green Street,,,,,,Leased Housing - PBV Eld/Dis
15,"Harvard Ave, Senator Bolling Circle, Snowden Way, Dorchester, MA 02124",20,Harvard Commons,,,,,,Leased Housing - PBV Family
16,"27 Burroughs Street, Jamaica Plain, MA 02130",21,Hearth at Burroughs,,,,,,Leased Housing - PBV Eld/Dis
17,"2 Kingbird Road, Dorchester, MA 02124",22,Hearth at Olmsted Green,,,,,,Leased Housing - PBV Eld/Dis
18,"209 Summer Street, East Boston, MA 02128",23,Heritage Apartments (Elderly) ,,,,,,Leased Housing - PBV Eld/Dis
19,"209 Summer Street, East Boston, MA 02128",24,Heritage Apartments (Family),,,,,,Leased Housing - PBV Family
20,"516 Warren Street, Dorchester, MA 02121",25,Imani House,,,,,,Leased Housing - PBV Eld/Dis
21,"Scattered Sites, Jamaica Plain, MA 02130",27,JP Scattered Sites,,,,,,Leased Housing - PBV Family
22,"2262 Dorchester Ave, Dorchester, MA 02124",28,Lower Mills,,,,,,Public Housing - Federal Eld/Dis
23,"Scattered Sites, Roxbury, MA 02119",29,Lower Roxbury Apartments,,,,,,Leased Housing - PBV Family
24,"229A River Street, Mattapan, MA 02126",30,Mattapan Heights,,,,,,Leased Housing - PBV Family
25,"95 Moreland Street, Roxbury, MA 02116",31,Moreland Affordable,,,,,,Leased Housing - PBV Family
26,"100 Norway Street,  Boston, MA 02115",32,Morville House,,,,,,Leased Housing - PBV Eld/Dis
27,"302 Eustis Street, Roxbury, MA 02119",33,Nueva Esperanza,,,,,,Leased Housing - PBV Family
28,"25 James O'Neil Street, Boston, MA 02127",34,Old Colony Phase 1,,,,,,Leased Housing - PBV Family
29,"166 Terrace Street, Roxbury, MA 02120",35,Oliver Lofts,,,,,,Leased Housing - PBV Family
30,"136-138 Pleasant Street, Dorchester, MA 02125",36,Pleasant Street,,,,,,Leased Housing - PBV Family
31,"278-292 Blue Hill Ave, Roxbury, MA 02119",37,Quincy Commons,,,,,,Leased Housing - PBV Family
32,"Scattered Sites Rockvale Circle, Jamaica Plain, MA 02130",38,Rockvale Circle,,,,,,Leased Housing - PBV Family
33,"Scattered Sites, Boston, MA ",39,Rollins Square,,,,,,Leased Housing - PBV Family
34,"1 Fenwood Road, Boston, MA 02115",40,Roxbury Tenant of Harvard,,,,,,Leased Housing - PBV Family
35,"20 Rutland Square, South End, MA 02118",41,Rutland Square House (Family),,,,,,Leased Housing - PBV Family
36,"40 Berkeley Street, Boston, MA 02116",42,The Berkeley Residence,,,,,,Leased Housing - PBV Family
37,"249 River Street, Mattapan, MA 02126",43,The Foley,,,,,,Leased Housing - PBV Eld/Dis
38,"170-172 Maverick Street, East Boston, MA 02128",44,The Greenway/Maverick,,,,,,Leased Housing - PBV Family
39,"1 Nassau Street, Boston, MA 02111",45,The Metropolitan,,,,,,Leased Housing - PBV Family
40,"406 Meridian Street, East Boston, MA 02128",46,Trinity House,,,,,,Leased Housing - PBV Family
41,"612-618 Columbia Street, Dorchester, MA 02125",47,Uphams Corner,,,,,,Leased Housing - PBV Eld/Dis
42,"Scattered Sites, Dorchester, MA ",48,Uphams West,,,,,,Leased Housing - PBV Family
43,"237-241 Walnut Ave, Roxbury, MA 02119",49,Walnut House,,,,,,Leased Housing - Mod Rehab Eld/Dis
44,"4560 Washington Street, Roslindale, MA 02131",50,Washington Beech,,,,,,Public Housing - Tax Cred
45,"91-95 Washington Street, Brighton, MA 02135",51,Washington Street,,,,,,Public Housing - Federal Eld/Dis
46,"12-14 Wise Street , Jamaica Plain, MA 02130",52,Wise Street/Porter Apartments,,,,,,Leased Housing - PBV Family
47,"131 Zeigler Street, Boston, MA 02118",53,Zeigler,,,,,,Leased Housing - PBV Eld/Dis
48,"109 Mt. Pleasant Ave, Roxbury, MA 02119",54,109 Mt. Pleasant Ave,,,,,,Leased Housing - PBV Family
49,"225 Centre Street, Jamaica Plain, MA 02130",55,225 Centre Street,,,,,,Leased Housing - PBV Family
50," 698 Mass Ave, Boston, MA 02118 ",57,698 Mass Ave,,,,,,Leased Housing - PBV Family
51,"1049-1051 Tremont Street, Boston, MA 02120",58,Arch Project,,,,,,Leased Housing - Mod Rehab Family
52,"326 Shawnut Ave, Boston, MA 02118",59,Betances House,,,,,,Leased Housing - Mod Rehab Eld/Dis
53,"4 Bishop Street, Jamaica Plain, MA 02130",60,Bishop Street,,,,,,Leased Housing - Mod Rehab Eld/Dis
54,"698 Mass Ave, Boston, MA 02118",61,Bobbie White House,,,,,,Leased Housing - Mod Rehab Family
55,"1989-1991, 1899, 1901, 2014-2018, 2020-2030 Columbus Ave, Roxbury, MA 02119",62,Columbus Ave Apartments,,,,,,Leased Housing - Mod Rehab Family
56,"17 Court Street, Boston, MA 02108",63,Congressman John Joseph Moakley Quarters,,,,,,Leased Housing - Mod Rehab Family
57,"1035-1039 Tremont Street, Boston, MA 02120",64,Conventry Street Program,,,,,,Leased Housing - Mod Rehab Eld/Dis
58,"123 Crawford Street, Dorchester, MA 02121",65,Crawford Street,,,,,,Leased Housing - Mod Rehab Family
59,"318 Dudley Street, Roxbury, MA 02119",66,Daly House,,,,,,Leased Housing - Mod Rehab Eld/Dis
60,"7-9, 11-13 Dixwell Street, Roxbury, MA 02119",67,Dixwell Street Apartments,,,,,,Leased Housing - Mod Rehab Family
61,"40 East Springfield Street, Boston, MA 02118",68,East Springfield,,,,,,Leased Housing - Mod Rehab Eld/Dis
62,"3-5 Esmond Street, Dorchester, MA 02121",69,Esmond Street,,,,,,Leased Housing - Mod Rehab Family
63,"31-31A Fessenden Street, Mattapan, MA 02126",70,Fessenden Street Apartments (Elderly),,,,,,Leased Housing - Mod Rehab Eld/Dis
64,"133-135 Fuller Street, Dorchester, MA 02124",71,Fuller House,,,,,,Leased Housing - Mod Rehab Eld/Dis
65,"497-503 Columbus Ave, Boston, MA 02118",72,Haley House,,,,,,Leased Housing - Mod Rehab Family
66,"270 Huntington Ave, Boston, MA 02115",73,Huntington at Symphony ,,,,,,Leased Housing - Mod Rehab Eld/Dis
67,"270 Huntington Ave, Boston, MA 02115",74,Huntington House,,,,,,Leased Housing - Tenant Voucher
68,"74A-B-76 Interval Street, Dorchester, MA 02121",75,Infill 1,,,,,,Leased Housing - Mod Rehab Family
69,"99-101 A & 101 B Brunswick Street, Boston, MA 02121",76,Infill 2,,,,,,Leased Housing - Mod Rehab Family
70,"2, 4 Jess Street, Jamaica Plain, MA 02130",77,Jess Street,,,,,,Leased Housing - Mod Rehab Family
71,"45 Lyon Street, Dorchester, MA 02124",78,Lyon House,,,,,,Leased Housing - Mod Rehab Eld/Dis
72,"258 Main Street, Charlestown, MA  02129",79,Main Street ,,,,,,Leased Housing - Mod Rehab Eld/Dis
73,"62 Montebello Street, Jamaica Plain, MA 02130",80,Montebello,,,,,,Leased Housing - Mod Rehab Family
74,"95 Moreland Street, Boston, MA 02119",81,Moreland Street,,,,,,None
75,"290 Eustis Street, Roxbury, MA 02119",82,Nueva Vida,,,,,,Leased Housing - Mod Rehab Eld/Dis
76,"526 Park Street, Dorchester, MA 02124",83,526 Park Street,,,,,,Leased Housing - Mod Rehab Eld/Dis
77,"124, 126 Park Street, Dorchester, MA 02124",84,124 & 126 Park Street,,,,,,Leased Housing - Mod Rehab Eld/Dis
78,"28 Rockwell Street, Dorchester, MA 02124",85,Rockwell House,,,,,,Leased Housing - Mod Rehab Eld/Dis
79,"4 Oakman Street, Dorchester, MA 02122",86,Souris House,,,,,,Leased Housing - Mod Rehab Eld/Dis
80,"35 Tuttle Street, Dorchester, MA 02125",87,Tuttle House,,,,,,Leased Housing - Mod Rehab Eld/Dis
81,"9 Valentine Street, Roxbury, MA 02119",88,Valentine Street,,,,,,Leased Housing - Mod Rehab Eld/Dis
82,"250-254 Warren Street, Roxbury, MA 02119",89,Victory Housing,,,,,,Leased Housing - Mod Rehab Eld/Dis
83,"1023 Hyde Park Ave, Hyde Park, MA 02136",90,Westminster House,,,,,,Leased Housing - Mod Rehab Eld/Dis
84,"260 Ruggles Street, Roxbury, MA 02120",91,Alice Taylor,,,,,,Public Housing - Federal Family
85,"125 Amory Street, Jamaica Plain, MA 02130",92,Amory Street,,,,,,Public Housing - Federal Eld/Dis
86,"52 Summer Street, Dorchester, MA 02122",93,Annapolis,,,,,,Public Housing - Federal Eld/Dis
87,"120 Brookway Road, Roslindale, MA 02131",94,Archdale,,,,,,Public Housing - State Family
88,"374 Ashmont Street, Dorchester, MA 02124",95,Ashmont,,,,,,Public Housing - Federal Eld/Dis
89,"185 Fulton Street, Boston, MA 02109",96,Ausonia,,,,,,Public Housing - Federal Eld/Dis
90,"160 Thirteenth Street, Charlestown, MA 02129",97,"Basilica, Condos",,,,,,Public Housing - State Eld/Dis
91,"24 Bellflower Street, Dorchester, MA 02125",98,Bellflower,,,,,,Public Housing - Federal Eld/Dis
92,"30 Bickford Street, Jamaica Plain, MA 02130",99,Bromley Park,,,,,,Public Housing - Federal Family
93,"30 Bickford Street, Jamaica Plain, MA 02130",100,Bromley Park  - Elderly,,,,,,Public Housing - Federal Eld/Dis
94,"136 Lenox Street, Boston, MA 02118",101,Camden,,,,,,Public Housing - State Family
95,"1472 Washington Street, Boston, MA 02118",102,Cathedral,,,,,,Public Housing - Federal Family
